id,name,lat,long
32,Arboretum Car Park,-35.28751,149.068329
33,Arboretum Stop 3,-35.291889,149.063995
201,Fremantle Dr after McKail Cr,-35.347042,149.047943
300,Donaldson St after Ainslie Primary School,-35.273621,149.140823
401,MacFarlane Burnet Av after DeGruchy Pl,-35.216084,149.002975
402,MacFarlane Burnet Av after Eccles Cct,-35.212837,149.004196
403,MacFarlane Burnet Av before Eccles Cct,-35.212666,149.004013
404,MacFarlane Burnet Av after Hallows Cct,-35.216072,149.003357
405,MacFarlane Burnet Av after Constance Stone St,-35.209343,149.00322
406,MacFarlane Burnet Av before Constance Stone St,-35.209293,149.002975
600,O'Hanlon Pl after Gold Creek Rd,-35.192123,149.085968
601,O'Hanlon Pl before Gold Creek Rd,-35.192142,149.086075
1001,Drumston St opp MacKillop College,-35.426113,149.091614
1002,Drumston St MacKillop after Isabella Dr,-35.425972,149.091705
1003,Hambidge Cr after Truganini Pl,-35.418968,149.120026
1007,Ellerston Av opp Isabella Plains Shops,-35.42786,149.091034
1008,Ellerston Av Isabella Plains Shops,-35.427479,149.091415
1009,Ellerston Av after Drumston St,-35.425655,149.09549
1010,Ellerston Av 2nd after Collyburl Cr,-35.425766,149.095459
1011,Ellerston Av 2nd after Drumston St,-35.426369,149.098007
1012,Ellerston Av after Collyburl Cr,-35.426601,149.098114
1013,Ellerston Av after Abercorn Cr,-35.428486,149.100616
1014,Ellerston Av after Groveland Cr,-35.428391,149.100357
1015,Ellerston Av after 2nd Abercorn Cr,-35.428791,149.10289
1016,Ellerston Av after Ashley Dr,-35.428921,149.102844
1017,Webber Cr Calwell Shops,-35.435093,149.113739
1019,Casey Cr after Roope Cl,-35.436661,149.111282
1020,Casey Cr after Downard St,-35.436859,149.11084
1027,Duggan St after Downard St,-35.439865,149.098618
1028,Duggan St after Beckett St,-35.439835,149.09848
1029,Duggan St after Tharwa Dr,-35.441601,149.100906
1030,Duggan St after Andrew Cr,-35.441601,149.10112
1031,Tharwa Dr after Fidge St overpass,-35.444824,149.105713
1032,Tharwa Dr after Fidge St overpass,-35.444454,149.103989
1033,Lawrence Wackett Cr opp Theodore Primary School,-35.447277,149.124619
1034,Lawrence Wackett Cr Theodore PS,-35.447346,149.124481
1035,Lawrence Wackett Cr after Burdett Cr,-35.449867,149.122559
1036,Lawrence Wackett Cr after Latchford St,-35.450001,149.122498
1037,Chippindall Cct after Louis Loder St,-35.450821,149.120102
1038,Chippindall Cct after Latchford St,-35.450718,149.1203
1044,Hurtle Av after Noarlunga Cr,-35.434803,149.086151
1045,Hurtle Av 2nd after Bardolph St,-35.434727,149.085968
1046,Barr Smith Av after Salas St,-35.426731,149.074173
1047,Barr Smith Av after Don Dunstan Dr,-35.426899,149.074188
1048,Coombe St after Barr Smith Av,-35.428455,149.075302
1049,Coombe St after Kneebone St,-35.428543,149.075333
1050,Kingscote Cr after Marquet Rt,-35.430763,149.077621
1051,Kingscote Cr after Kneebone St,-35.430836,149.077652
1052,Barr Smith Av after Kingscote Cr,-35.431099,149.080002
1053,Barr Smith Av after Hurtle St,-35.431263,149.080063
1054,Hurtle Av after Bardolph St,-35.434406,149.083588
1055,Hurtle Av after Ebenezer St,-35.433937,149.082886
1056,Hurtle Av opp Bonython Primary School,-35.432125,149.082306
1057,Hurtle Av Bonython Primary School,-35.431442,149.082291
1059,Soward Way Homeworld,-35.418682,149.067886
1061,Soward Way after Anketell St,-35.417271,149.070694
1062,Soward Way after Drakeford Dr,-35.417377,149.07074
1063,Scollay St Tuggeranong Bus Depot,-35.422657,149.069733
1064,Scollay St after Reed St,-35.421806,149.069229
1065,Anketell St Bunnings Tuggeranong,-35.422695,149.072906
1066,Anketell St opp Actew AGL,-35.422523,149.072922
1067,Anketell St opp Tuggeranong Square,-35.419796,149.070847
1068,Anketell St after Bunnings Warehouse,-35.419975,149.070831
1069,Ellerston Av before Noorooma Av,-35.430393,149.088165
1070,Ellerston Av after Noorooma Av,-35.430126,149.088257
1071,Ellerston Av after Keverstone Cct,-35.431595,149.088806
1072,Ellerston Av before Kadina St,-35.431553,149.088898
1073,Ellerston Av after Jasper Cl,-35.431904,149.092377
1074,Ellerston Av after Kadina St,-35.431675,149.092056
1075,Ellerston Av after Johnston Dr,-35.433964,149.094666
1076,Ellerston Av after 2nd Galloway St,-35.433781,149.09465
1077,Outtrim Av 2nd after Gurr St,-35.435753,149.098663
1078,Outtrim Av after Johnson Dr,-35.435688,149.098404
1079,Outtrim Av after Carter Cr,-35.435898,149.10202
1080,Outtrim Av after Gurr St,-35.435978,149.101944
1081,Outtrim Av after 2nd Carter Cr,-35.436062,149.104675
1082,Outtrim Av 2nd after Mountain Cct,-35.436089,149.104828
1083,Outtrim Av after Costello Cct,-35.435623,149.109482
1084,Outtrim Av after Mountain Cct,-35.435703,149.109482
1085,Casey Cr after Dougharty Pl,-35.438694,149.110352
1086,Casey Cr after Carpenter Cl,-35.43858,149.110413
1087,Barraclough Cr after Cowdery Pl,-35.417179,149.100647
1088,Barraclough Cr after Ashley Dr,-35.417183,149.100372
1089,Casey Cr after O'Connor Cct,-35.440018,149.113144
1090,Casey Cr after Loader Cr,-35.439957,149.113235
1091,Johnson Dr Calwell Park and Ride,-35.433498,149.111282
1092,Casey Cr 3rd after Were St,-35.44112,149.115921
1093,Johnson Dr Opp Calwell Park and Ride,-35.433212,149.112595
1094,Casey Cr after Were St,-35.441063,149.118881
1095,Were St Netball Courts,-35.440384,149.120712
1096,Were St after Tharwa Dr,-35.440536,149.120682
1109,Louis Loder St after Lawrence Wackett Cr,-35.445644,149.116776
1110,Louis Loder St after Hartung Cr,-35.445576,149.116669
1111,Louis Loder St after 2nd Mehaffey Cr,-35.446537,149.114517
1112,Louis Loder St after Vonwiller Cr,-35.446522,149.114883
1113,Louis Loder St after Cochrane Cr,-35.448009,149.115219
1114,Louis Loder St after 2nd Conlon Cr,-35.448128,149.115265
1115,Louis Loder St after 2nd Cochrane Cr,-35.450546,149.117416
1116,Louis Loder St after Conlon Cr,-35.450596,149.117264
1117,Clift Cr before Johnson Dr,-35.43325,149.118423
1118,Clift Cr after Johnson Dr,-35.433113,149.118225
1119,Clift Cr after 2nd Chauncy Cr,-35.431156,149.119171
1120,Clift Cr after Fullerton Cr,-35.431118,149.119354
1121,Deamer Cr after Clift Cr,-35.429241,149.121445
1122,Deamer Cr after Meeson St,-35.429356,149.120941
1123,Deamer Cr after Twamley Cr,-35.430847,149.123535
1124,Deamer Cr after Mary MacKillop Pl,-35.430916,149.123428
1125,Deamer Cr after 2nd Twamley Cr,-35.431496,149.12706
1126,Deamer Cr before Mary MacKillop Pl,-35.431725,149.126984
1127,Deamer Cr before Nina Jones Cr,-35.429424,149.128799
1128,Deamer Cr after 2nd Nina Jones Cr,-35.429787,149.128677
1129,Deamer Cr after Heagney Cr,-35.427319,149.129807
1130,Deamer Cr before Heagney Cr,-35.427189,149.129608
1131,Heagney Cr after Rose Scott Cr,-35.426487,149.130997
1132,Heagney Cr after Deamer Cr,-35.426567,149.130249
1133,Heagney Cr after Couchman Cr,-35.424587,149.133209
1134,Heagney Cr after Hawton Pl,-35.424694,149.133026
1135,Heagney Cr before Couchman Cr North Entry,-35.423046,149.134918
1136,Heagney Cr after 2nd Couchman Cr,-35.423023,149.134537
1137,Heagney Cr after Henry Melville Cr,-35.421379,149.135986
1138,Heagney Cr after Emily Bulcock Cr,-35.420925,149.136017
1139,Heagney Cr after Louisa Lawson Cr South Entry,-35.419228,149.136093
1140,Heagney Cr after 2nd Henry Melville Cr,-35.419094,149.135986
1141,Heagney Cr before 2nd Louisa Lawson Cr,-35.416931,149.135468
1142,Heagney Cr 3rd after Emily Bullock Cr,-35.416759,149.135056
1143,Proctor St after Sweet Pl,-35.415211,149.125153
1144,Proctor St after Maclean St,-35.415329,149.125259
1145,Heagney Cr after Louisa Lawson Cr North Entry,-35.414936,149.132904
1146,Heagney Cr before Hambidge Cr,-35.414982,149.132813
1147,Benham St Chisholm Shops,-35.414421,149.129059
1148,Benham St opp Chisholm Shops,-35.414482,149.129227
1149,Coyne St after Jackie Howe Cr,-35.409004,149.12796
1150,Coyne St after Isabella Dr,-35.409157,149.127777
1151,Coyne St after Bugden Av,-35.409168,149.123108
1152,Coyne St before Fihelly St,-35.409225,149.122726
1153,Bugden Av after Coyne St,-35.406963,149.120438
1154,Bugden Av after Larcombe Cr,-35.406757,149.120468
1155,Bugden Av before Demaine Cr,-35.404228,149.122452
1156,Bugden Av after Fihelly St,-35.404354,149.121964
1157,Bugden Av after 2nd Demaine Cr,-35.402393,149.12413
1158,Bugden Av after Mullan St,-35.401344,149.12355
1159,Bugden Av after 2nd Mullan St,-35.398518,149.122116
1160,Bugden Av after Courtice Cl,-35.398529,149.122192
1161,Bugden Av after Dash Cr,-35.400242,149.115692
1162,Bugden Av after Partridge St,-35.401436,149.114273
1163,Bugden Av 2nd after Appel Cr,-35.401321,149.112762
1164,Bugden Av after Maughan Cr,-35.401833,149.110306
1165,Bugden Av after Appel Cr,-35.401741,149.110016
1166,Bugden Av after Sternberg Cr,-35.402649,149.107483
1167,Bugden Av before Sternberg Cr,-35.402691,149.107559
1168,Bugden Av after 2nd Dash Cr,-35.39954,149.115829
1169,Longmore Cr after Angliss Pl,-35.398911,149.099472
1170,Sternberg Cr after Erindale Dr,-35.40226,149.103287
1171,Sternberg Cr after Ashley Dr,-35.401943,149.100571
1172,Comrie St Erindale Centre Plt 1,-35.403648,149.099167
1173,Comrie St opp Erindale Centre Plt 2,-35.403801,149.09938
1174,Sternberg Cr before Erindale Dr,-35.401993,149.102753
1176,McBryde Cr Erindale Centre,-35.403908,149.095993
1177,McBryde Cr opp Erindale Centre,-35.404015,149.09584
1178,Amsinck St after McBryde Cr,-35.405556,149.093552
1179,Amsinck St after Erindale Dr,-35.405602,149.093292
1180,MacKillop College McBryde Cr,-35.406139,149.090576
1181,McBryde Cr opp MacKillop College,-35.406265,149.090561
1182,Woodcock Dr after Covenant CLG,-35.441864,149.086182
1183,Woodcock Dr before Drakeford Dr,-35.441692,149.086151
1184,Clare Dennis Av after Woodcock Dr,-35.443043,149.085968
1185,Clare Dennis Av after Churchill Wy,-35.44516,149.087799
1186,Clare Dennis Av after Fred Lane Cr,-35.44677,149.086075
1187,Clare Dennis Av after 2nd Fred Lane Cr,-35.44709,149.083847
1188,Lewis Luxton Av after Preddy Wy,-35.448402,149.086121
1189,Lewis Luxton Av after Flegg Cr,-35.450436,149.089096
1190,Lewis Luxton Av after Sid Barnes Cr,-35.452904,149.087967
1191,Knoke Av opp Gordon Primary School,-35.458122,149.086121
1192,Knoke Av 2nd after Jim Pike Av,-35.460579,149.085663
1193,Knoke Av after Jim Pike Av,-35.46228,149.083206
1194,Jim Pike Av after Knoke St,-35.462017,149.07991
1195,Callaway Cr after 2nd Wootton Cr,-35.459068,149.080048
1196,Callaway Cr after Myles Connell Cr,-35.460037,149.081741
1197,Bugden Av after Chataway Cr,-35.39864,149.117569
1198,Bugden Av after Nicklin Cr,-35.398045,149.118256
1199,Knoke Av after Clem Hill St,-35.464787,149.084183
1200,Knoke Av after 2nd Harry Hopman Cct,-35.467258,149.087646
1201,Knoke Av after Harry Hopman Cct,-35.472809,149.089279
1202,Pockett Av after Bellchambers Cr,-35.474079,149.09317
1203,Pockett Av after Wilson Cr,-35.471703,149.096924
1204,Pockett Av after 2nd Ironbark Cr,-35.469475,149.097641
1205,Pockett Av after Perrin Cct,-35.467556,149.095367
1206,Pockett Av after Box Hill Av,-35.465279,149.094101
1207,Tom Roberts Av before Box Hill,-35.463821,149.096497
1208,Tom Roberts Av opp Conder PS,-35.465324,149.098404
1210,Tom Roberts Av Jane Sutherland St,-35.466305,149.105606
1211,Tom Roberts Av after Chartersville Av,-35.462227,149.105194
1212,Tom Roberts Av 2nd after Box Hill Av,-35.461224,149.102203
1213,Tom Roberts Av after Box Hill Av,-35.460419,149.099258
1214,Tom Roberts Av after Beaumaris St,-35.466404,149.100418
1215,Box Hill Av opp Lanyon Marketplace,-35.456169,149.092499
1216,Box Hill Av opp St. Clare of Assisi Primary,-35.457714,149.097366
1217,Box Hill Av Lanyon Marketplace,-35.456352,149.092468
1218,Box Hill Av St. Clare of Assisi PS,-35.457981,149.097458
1219,Tom Roberts Av before Box Hill Av,-35.460468,149.099014
1220,Tom Roberts Av after John Russell Cct,-35.461296,149.101807
1221,Tom Roberts Av before Lethbridge St,-35.4622,149.10498
1223,Tom Roberts Av Conder Primary School,-35.464855,149.097977
1224,Pockett Av after Bastow Cct,-35.464989,149.093948
1225,Pockett Av after Tregellas Cr,-35.46759,149.095276
1226,Pockett Av 2nd after Brockway Cct,-35.470394,149.097656
1227,Pockett Av Banks Shops,-35.472431,149.095947
1228,Pockett Av after Tharwa Dr,-35.473495,149.091736
1229,Knoke Av after Coventry Cl,-35.472851,149.089447
1230,Knoke Av after Minnett Cl,-35.470764,149.088898
1231,Knoke Av 2nd after Harry Hopman Cct,-35.470875,149.088791
1232,Knoke Av after Matson St,-35.467175,149.087677
1233,Knoke Av after Travers St,-35.465672,149.085587
